name,brand,price,color,size
Shirt,Nlounge,92.23,Mauv,M
Short,Topicstorm,26.05,Crimson,XL
T-Shirt,Dabjam,96.47,Aquamarine,2XL
Polo,Quamba,54.35,Fuscia,M
Polo,Blogtags,65.13,Crimson,3XL
T-Shirt,Meejo,65.79,Purple,3XL
Shirt,Kazu,84.64,Green,XL
Short,Dabjam,55.37,Aquamarine,3XL
Shirt,Gabcube,50.68,Indigo,XL
Jacket,Npath,53.23,Pink,XL
Shirt,Jabberbean,49.79,Violet,XL
Short,Skinder,20.42,Red,M
Shirt,Brainlounge,70.77,Turquoise,2XL
T-Shirt,Realfire,83.93,Yellow,S
Shirt,DabZ,10.32,Yellow,M
T-Shirt,Dynabox,85.54,Green,2XL
Shirt,Tazz,69.40,Goldenrod,XS
Jacket,Youtags,95.56,Goldenrod,3XL
T-Shirt,Flipstorm,28.39,Mauv,XL
Jeans,Voonyx,11.36,Green,L
T-Shirt,Skinix,69.50,Violet,XL
T-Shirt,Trilith,91.99,Khaki,XL
Short,Digitube,38.32,Yellow,XL
T-Shirt,Trunyx,5.68,Mauv,L
Short,Roomm,61.93,Blue,XL
Polo,Gigazoom,89.75,Maroon,2XL
Jacket,Roodel,20.82,Mauv,2XL
Jacket,Skidoo,69.30,Violet,L
Polo,Oyope,79.40,Orange,M
Jeans,Yata,85.61,Pink,3XL
Shirt,Rhybox,49.07,Khaki,S
Shirt,Innojam,73.82,Yellow,3XL
Polo,Meezzy,25.64,Fuscia,XS
Jeans,Realbuzz,79.92,Red,S
Shirt,Twitterworks,25.32,Khaki,XL
Jacket,Twimbo,55.71,Goldenrod,L
Short,Pixope,28.14,Red,3XL
T-Shirt,Latz,46.68,Aquamarine,M
Shirt,Zoomlounge,67.55,Yellow,M
Polo,Brightdog,38.46,Fuscia,3XL
Jacket,Eayo,38.55,Yellow,3XL
T-Shirt,Kare,46.40,Indigo,S
Short,Yotz,27.66,Pink,S
T-Shirt,Eare,37.30,Maroon,3XL
Polo,Jabbertype,15.81,Khaki,XL
Short,Talane,32.60,Green,L
Jacket,Twitterwire,38.67,Fuscia,M
Short,Jabbersphere,23.51,Red,S
Shirt,Twimbo,72.12,Mauv,L
Polo,Fiveclub,96.18,Fuscia,2XL
Short,Meejo,12.41,Orange,XS
Jeans,Pixonyx,20.17,Puce,2XL
